Fe,C,Cr,Ni,Mn,S,Si,Mo,V,W,Co,Al,P,Cu,Ti,Tensile_Strength_MPa
74.96,0.94,2.07,10.46,1.92,0.02,0.59,3.01,0.22,2.78,0.78,0.58,0.03,1.26,0.38,1362.79
72.6,0.6,4.46,15.66,1.42,0.01,0.19,0,0.6,1.06,0.06,0.36,0.05,2.07,0.86,1013.58
85.32,0.18,1.32,0.23,1.91,0.02,0.92,1.97,0.73,1.55,2.68,1,0.02,1.65,0.5,638.06
65.77,0.21,13.57,8.31,1.83,0.03,1.13,0.35,0.73,3.43,3.2,0.27,0.05,0.96,0.15,924.32
61.63,1.18,13.43,8.3,1.87,0,0.18,3.41,0.18,4.59,4.2,0.31,0.04,0.13,0.55,1786.4
65.73,0.26,9.26,11.94,0.07,0.02,1.66,2.22,0.17,4.77,1.33,0.8,0.01,1.27,0.49,966.66
67.76,0.61,9.3,4.5,1.03,0.02,0.42,4.94,0.87,4.44,3.43,0.16,0.03,2.46,0.04,1244.09
58.45,0.26,6.81,19.67,1.45,0.01,1.21,1.23,0.61,4.48,2.78,0.73,0.02,1.57,0.7,1048.83
54.9,0.98,11.87,19.55,1.64,0.04,1.69,1.41,0.43,2.82,2.31,0.85,0,0.63,0.88,1690.98
66.73,0.68,17.18,4.56,1.74,0.01,0.49,2.49,0.07,1.92,1.78,0.16,0.04,1.16,0.98,1289.8
69.48,1.08,3.51,10.1,1.2,0.04,1.77,3.12,0.04,2.41,4.42,0.71,0.04,2.02,0.04,1559.05
71.15,0.46,2.45,10.21,0.68,0.02,1.29,4.43,0.56,3.44,3.3,0.55,0.02,1.13,0.32,1120.11
57.8,1.1,14.88,11.59,1.82,0.04,1.86,1.11,0.72,3.05,3.67,0.26,0.03,1.23,0.83,1717.18
60.78,0.23,12.92,11.01,1.11,0.04,1.71,1.19,0.56,4.14,4.36,0.29,0.01,0.7,0.95,1050.25
80.77,0.56,7.53,0.26,0.1,0.03,1.18,2.88,0.11,1.76,4.06,0.17,0.04,0.36,0.17,1003.37
65.57,0.4,11.85,11.77,0.3,0.01,1.86,0.92,0.7,4.82,0.6,0.4,0.01,0.66,0.12,1092.78
62.56,0.78,13.43,13.54,1.85,0.01,0.64,1.72,0.23,0.71,2.43,0.83,0.05,0.39,0.82,1364.56
60.59,0.14,17.82,13.11,1.96,0.02,0.79,1.24,0.98,1.27,0.12,0.51,0.02,0.78,0.63,979.49
79.81,0.44,7.24,0.46,1.18,0.01,0.43,3.59,0.31,0.82,2.89,0.21,0.01,1.86,0.74,962.29
69.39,0.55,14.18,3.86,0.3,0.03,0.82,3.55,0.26,1.62,4.48,0.42,0.03,0.32,0.18,1203.1
58.74,0.05,7.64,19.78,1.75,0.03,1.72,2.97,0.37,0.87,3.27,0.19,0.02,2.48,0.13,825.35
68.22,0.67,4.53,10.06,0.6,0.03,0.56,4.9,0.49,3.72,3.5,0.49,0.01,1.53,0.68,1318.19
84.5,0.56,1.47,0.36,0.66,0.01,1.81,0.88,0.39,3.56,4.08,0.48,0.01,0.81,0.42,910.62
72.21,0.17,16.44,0.6,0.88,0.05,1.32,1.78,0.15,4.82,0.07,0.68,0.04,0.08,0.73,819.77
69.73,1.2,11.51,8.29,1.75,0.03,1.5,2.94,0.04,1.07,0.39,0.11,0,1.26,0.18,1662.3
72.99,0.69,8.8,5.12,0.95,0.03,1.56,0.41,0.71,3.71,2.79,0.21,0.03,1.51,0.48,1218.57
80.35,0.56,1.99,3.66,0.19,0.01,0.53,1.23,0.21,3.68,4.09,0.33,0.02,2.53,0.62,1013.39
58.31,0.42,10.56,19.85,0.6,0.05,0.64,2.7,0.46,3.92,0.31,0.63,0.04,1.42,0.11,1128.21
55.01,0.3,12.23,17.91,0.84,0.03,0.46,2.06,0.34,3.28,4.92,0.81,0.01,1.73,0.07,1066.86
64.3,0.41,12.22,9.99,1.87,0.01,0.73,1.65,0.24,4.97,1.94,0.94,0.02,0.61,0.12,1106.79
68.94,1.03,0.58,19.29,0.84,0.01,1.23,0.66,0.07,4.14,2.12,0.52,0.01,0.18,0.37,1506.42
71.72,0.61,14.09,2.31,0.13,0.01,1.54,3.8,0.14,0.15,3.43,0.86,0.04,0.61,0.58,1173.09
70.08,0.91,4.6,10.55,0.63,0.01,1.94,4.56,0.45,0.68,3.64,0.26,0.01,1.14,0.53,1456.94
53.23,0.03,16.05,18.41,1.47,0.02,0.51,3.72,0.93,0.79,2.33,0.32,0.02,1.22,0.95,959.83
57.93,0.32,8.87,19.03,0.95,0.04,0.12,4.77,0.19,4.9,0.88,0.44,0.02,1.3,0.25,1131.68
58.46,0.99,9.77,19.59,0.85,0.01,0.69,3.68,0.66,3.89,0.37,0.58,0.05,0.32,0.09,1675.67
65.92,0.86,5.67,13.17,1.09,0.05,1.78,3.39,0.26,1.31,4.41,0.59,0.04,1.35,0.1,1354.54
68.25,0.94,12.61,1.77,1.24,0.04,1.39,2.56,0.31,4.44,2.11,0.86,0.04,2.45,0.99,1515.02
82.77,0.9,0.61,4.11,0.07,0.01,0.12,2.51,0.03,2.36,4.49,0.75,0.05,0.68,0.53,1203.21
82.47,0.67,0.65,4.67,1.41,0.04,1.14,1.35,0.41,0.48,4.77,0.87,0,0.5,0.58,949.71
59.18,0.29,16.82,15.11,0.55,0,1.6,2.12,0.64,1.43,0.71,0.68,0.02,0.71,0.14,1107.1
73.61,0.35,13.23,3.66,0.68,0.04,1.32,1.35,0.12,0.21,4.19,0.08,0.01,0.71,0.45,891.15
72.45,0.95,4.45,10.87,0.18,0.02,0.36,1.06,0.37,3.81,3.72,0.41,0.01,0.84,0.51,1340.85
66.24,0.84,6.05,12.51,0.49,0.01,0.15,2.1,0.62,3.94,4.05,0.99,0,1.48,0.52,1452.22
83.59,0.97,4.79,1.39,0.63,0.05,1.8,1.98,0.88,0.16,1.57,0.73,0.01,0.6,0.86,1275.27
68.08,0.38,15.84,5.11,0.71,0.01,1.55,1.19,0.07,2.18,1.96,0.18,0.01,2.69,0.07,970.25
63.01,0.13,4.41,19.06,0.17,0.04,1.78,1.89,0.29,3.39,3.51,0.78,0.04,0.81,0.69,837.84
85.04,0.74,2.91,1.53,0.39,0.02,1.78,2.66,0.75,0.87,0.53,0.24,0.02,1.64,0.88,1086.42
77.56,0.52,9.34,0.09,0.07,0,1.4,2.43,0.19,2.96,2.72,0.09,0.03,2.3,0.29,997.57
69.27,0.91,16.41,8.84,0.49,0.02,0.5,0.01,0.65,0.21,1.05,0.72,0.03,0.22,0.66,1375.12
72.59,1.12,1.34,8.31,1.46,0.03,0.45,0.82,0.78,4.78,3.84,0.96,0.03,2.79,0.69,1521.85
71.56,0.04,9.32,6.37,0.09,0.05,1.33,4.51,1,1.96,1.27,0.18,0.03,1.82,0.47,798.25
76.12,0.47,3.03,8.84,0.17,0.04,0.09,1.9,0.1,3.87,1.56,0.11,0.03,2.75,0.91,991.59
76.83,0.05,2.37,9.99,0.46,0.04,1.86,0.02,0.23,2.2,2.82,0.92,0.04,1.91,0.26,496.13
61.76,0.94,3.65,19.3,0.01,0.03,0.18,2.04,0.63,3.45,3.93,0.59,0.01,2.67,0.81,1523.29
69.38,1.17,11.47,5.64,1.21,0.02,1.35,2.72,0.93,3.09,1.07,0.73,0.02,0.82,0.39,1692.51
55.8,0.02,17.44,10.65,1.55,0.01,1.49,2.84,0.42,4.85,2.47,0.66,0,0.9,0.89,1020.26
72.08,1.08,8.75,11.33,0.76,0.03,0.64,1.93,0.97,0.56,0.53,0.04,0.02,1.19,0.09,1538.85
63.75,0.66,10.5,15.02,1.95,0.03,0.22,0.44,0.78,3.25,0.81,0.25,0.04,1.7,0.59,1291.8
55.76,0.93,15.93,14.73,1.15,0.03,0.97,1.13,0.88,2.66,2.97,0.99,0.05,1.76,0.03,1531.38
60.36,0.48,16.87,5.77,2,0,1.14,2.58,0.26,4.74,3.1,0.23,0.02,2.16,0.3,1263.77
63.47,0.13,5.41,19.98,0.19,0.01,0.54,3.1,0.75,3.76,0.04,0.65,0.03,1.55,0.38,888.89
75.51,0.96,6.19,4.6,0.62,0.02,0.43,3.04,0.88,2.98,2.23,0.8,0.04,1.1,0.6,1406.01
63.2,0.45,1.9,19.75,0.17,0.01,0.96,4.33,0.36,3.84,3.38,0.64,0.04,0.04,0.93,1203.34
54.26,1,16.88,15.87,1.76,0.01,0.64,1.58,0.11,3.65,0.68,0.05,0.04,2.71,0.76,1702.04
56.19,1.07,8.94,19.77,0.21,0.04,1.28,2.9,0.73,4.2,4.31,0.18,0.01,0.05,0.13,1764.16
64.34,0.32,12.98,9.52,1.52,0.02,1.11,0.56,0.78,3.79,1.54,0.33,0.01,2.44,0.75,1007.28
83.97,0.21,0.9,0.91,0.37,0.01,1.11,1.79,0.44,2.97,3.3,0.65,0.01,2.43,0.92,724.56
66.8,0.39,0.31,17.98,1.85,0,0.01,4.08,0.3,4.57,1.08,0.86,0,0.78,0.97,1110.67
79.53,1.03,2.12,1.95,0.65,0.03,1.42,4.41,0.54,1.97,1.79,0.85,0.04,2.72,0.96,1438.38
63.12,0.37,9.53,12.64,0.33,0,1.74,2.68,0.57,2.77,3.77,0.15,0.03,1.41,0.9,1132.27
51.99,0.43,17.4,17.5,1.17,0.02,0.75,3.86,0.58,2.01,3.18,0.73,0,0.27,0.09,1308.24
61.16,0.29,7.69,16.07,0.7,0,0.97,4.98,0.35,4.81,0.51,0.17,0.04,1.5,0.77,1135.41
59.26,0.82,10.94,17.23,0.86,0,1.15,4.79,0.01,1.2,1.58,0.77,0.02,0.72,0.65,1535.22
77.02,0.07,3.07,8.16,0.71,0.02,0.22,1.8,0.8,2.07,2.93,0.16,0,2.64,0.33,667.25
61.26,0.85,13.61,13.64,0.21,0.05,1.82,1.18,0.8,2.05,3.42,0.17,0.03,0.38,0.54,1441.01
62.38,0.3,8.14,13.36,1.75,0.01,1.79,1.95,0.84,2.56,4.31,0.66,0.03,0.94,0.97,1054.29
52.15,0.21,14.03,19.8,0.56,0.05,0.25,4.76,0.75,1.73,1.52,0.64,0.03,2.76,0.77,1162.17
59.58,0.65,16.7,11.85,1.7,0.04,1.84,0.34,0.58,2.34,2.45,0.46,0.04,0.96,0.46,1290.11
80.11,0.8,2.1,3.76,1.06,0,0.25,4.32,0.85,1.74,1.74,0.94,0,1.74,0.6,1254.06
60.59,0.95,17.13,7.12,0.88,0.03,1.93,4.45,0.67,4.28,0.43,0.38,0,0.53,0.63,1727.19
72.25,0.8,1.87,13.3,0.91,0.03,0.65,2.91,0.42,2.79,0.74,0.4,0.02,2.21,0.71,1326.74
68.15,1.09,11.38,6.29,1.57,0.02,0.39,3.74,0.13,0.89,3.79,0.77,0.04,0.88,0.87,1625.17
72.87,0.85,10.43,2.19,1.42,0.03,0.62,3.68,0.55,2.8,1.84,0.12,0.01,2.31,0.27,1418.1
59.44,0.01,17.95,4.21,1.31,0.05,1.2,4,0.98,4.3,2.79,0.36,0.02,2.53,0.85,994.78
80.69,0.58,5.6,0.07,1.53,0.01,0.66,4.22,0.05,4.64,0.01,0.94,0.02,0.31,0.67,1167.29
66.07,1.08,7.89,13.83,1.96,0.01,1.64,1.48,0.43,1.41,2.23,0.01,0.02,1.34,0.63,1611.89
64.45,0.36,17.05,7.84,0.43,0.03,1.5,0.06,0.28,4.12,2.54,0.41,0.05,0.27,0.62,1087.12
79.2,0.42,1.27,4.27,1.26,0,1.18,4.78,0.8,1.73,0.69,0.47,0.02,2.92,0.99,982.14
64.34,1.09,14.28,10.23,0.73,0.02,1.8,0.92,0.81,0.09,4.6,0.5,0.01,0.01,0.56,1586.26
71.82,0.3,11.36,5.62,0.18,0.03,1.13,2.26,0.46,2.95,2.63,0.13,0.01,0.43,0.69,873.01
63.22,0.96,5.86,11.36,0.15,0.04,1.39,4.01,0.88,3.79,4.22,0.35,0.02,2.83,0.91,1646.37
62.96,0.66,6.6,17.32,0.65,0.01,1.28,0.21,0.38,4.04,1.48,0.93,0.05,2.45,0.99,1337.26
68.11,1.01,8.87,8.13,1.23,0.03,1.5,3.34,0.75,3.37,2.4,0.13,0.04,0.09,0.99,1635.17
55.35,1,12.08,19.33,1.22,0,1.12,1.39,0.37,2.3,3.87,0.5,0.02,0.91,0.54,1610.32
77.98,0.91,6.17,1.03,0.69,0.03,1.63,4.81,0.75,2.14,1.5,0.13,0.03,1.53,0.68,1389.83
81.23,0.29,5.83,5.84,1.6,0.01,1.22,0.26,0.55,0.32,0.88,0.11,0.02,1.03,0.83,740.02
67.3,0.73,12.37,5.9,1.21,0.04,0.7,2.63,0.15,0.12,4.91,0.3,0.01,2.92,0.73,1271.08
60.77,0.71,12.59,14.2,1.53,0,0.83,1.48,0.07,2.06,3.08,0.18,0.02,1.92,0.58,1353.33
57.66,1.16,10.75,13.97,1.72,0.04,1.44,2.5,0.27,4.39,3.88,0.84,0.01,0.94,0.42,1807.73
63.15,1.01,16.07,5.7,1.37,0,0.82,2.43,0.77,4.46,1.69,0.53,0.03,0.99,0.99,1682.39
70.9,0.61,4.16,10.29,1.37,0,1.74,2.97,0.99,0.13,4.16,0.79,0.01,1.01,0.88,1221.65
60.64,0.63,7.22,18.11,0.19,0.02,1.3,3.04,0.26,2.82,3.54,0.58,0.03,0.77,0.83,1313.02
75.64,0.04,6.85,3.61,1.11,0.01,1.47,4.41,0.21,0.8,4.38,0.36,0.02,0.66,0.43,695.84
68.55,0.29,11.99,9.98,1.58,0.02,1.01,1.3,0.93,2.61,0.87,0.27,0,0.08,0.53,988.58
62.54,0.21,14.29,6.32,0.45,0.05,1.61,3.15,0.7,4.96,2.97,0.1,0,2,0.66,1059.51
59.67,0.9,1.96,18.9,1.1,0.03,0.07,4.8,0.56,2.82,4.72,0.93,0.01,2.79,0.74,1617.77
61.24,0.84,3.78,16.73,1.69,0.03,1.84,4.06,0.22,3.99,4.77,0.14,0.05,0.07,0.52,1462.3
56.01,0.93,14.23,14.69,1.06,0.03,1.4,2.47,0.6,4.23,1.56,0.52,0,2.06,0.2,1605.12
71.98,0.04,8.7,8.5,0.85,0.01,1.89,0.02,0.89,3.68,0.86,0.47,0.05,1.93,0.13,674.61
60.59,0.55,8.43,16.05,1.83,0,0.63,1.49,1,2.8,4.4,0.43,0.04,0.86,0.91,1315.78
71.87,0.31,12.48,8.1,0.06,0.02,1.1,0.76,0.18,2.32,1.71,0.44,0.02,0.42,0.18,860.63
73.3,1.02,2.93,13.32,0.84,0.05,0.13,4.15,0.49,0.03,1.32,0.41,0.02,1.09,0.92,1419.58
73.75,0.92,14.29,1.68,1.41,0.02,0.27,1.32,0.05,1.8,1.28,0.38,0.03,2.2,0.61,1297.68
56.67,0.82,15.58,17.48,1.72,0.01,0.5,2.51,0.36,0.66,1.44,0.98,0.02,1.26,0.01,1456.93
56.57,0.13,17.43,15.55,1.45,0.05,0.81,3.59,0.21,3.49,0.07,0.13,0.02,0.04,0.46,1077.1
76.17,0.63,11.19,2.01,0.36,0.03,1.32,0.13,0.54,3.92,0.35,0.41,0.02,2.74,0.19,1119.1
78.11,0.4,9.56,0.66,1.97,0.04,1.27,0.3,0.07,2.72,1.43,0.62,0.03,2.52,0.28,855.78
63.52,0.7,13.99,9.82,1.66,0.01,1.47,4.71,0.33,1.83,0.42,0.64,0.03,0.12,0.75,1370.67
68.13,1.05,7.18,13.11,1.23,0.02,0.17,0.11,0.43,2.41,4.11,0.41,0.01,1.39,0.24,1527.79
78.27,0.12,2.03,6.38,0.03,0.01,1.58,1.17,0.11,4.75,3.11,0.06,0,1.84,0.54,687.47
80.76,0.53,4.5,2.67,0.81,0.05,0.1,4.95,0.21,2.04,0.23,0.58,0.02,2,0.54,1053.19
66.89,0.48,13.28,0.5,1.08,0.01,0.87,3.96,0.14,4.68,4.44,0.41,0,2.37,0.88,1247.64
69.64,0.96,8.01,11.28,0.64,0.01,1.49,0.01,0.58,4.32,1.11,0.33,0.03,0.74,0.85,1482.4
78.26,0.45,10.47,4.52,0.08,0.01,0.09,2.34,0.59,0.22,0.45,0.49,0.04,1.88,0.1,936.61
54.42,0.6,16.96,10.17,1.92,0.01,0.69,3.91,0.78,3.66,4.3,0.7,0.03,1.38,0.47,1424.3
72.68,0.49,11.16,8.13,0.29,0.01,1.85,0.12,0.11,2.23,1.31,0.41,0.01,0.39,0.8,1007.4
59.87,0.8,10.97,14.27,0.95,0.01,1.33,1.86,0.22,2.04,3.82,0.48,0.01,2.5,0.88,1449.48
71.64,0.53,6.74,12.25,0.12,0.03,1.56,1.99,0.17,0.14,3.19,0.27,0.02,1.16,0.17,904.5
77.32,0.75,4.53,4.29,1.63,0.04,1.54,0.62,0.22,2.88,4.29,0.89,0.04,0.13,0.82,1183.59
73.3,1.08,1.02,8.33,1.07,0.01,1.03,4.43,0.87,4.7,2.42,0.41,0.03,1.25,0.04,1570.18
71.2,0.07,0.37,18.63,0.5,0.02,1.9,2.34,0.08,2.76,0.44,0.1,0.04,0.87,0.68,725.1
75.35,0.62,4,10.36,0.14,0.02,1.05,1.14,0.66,0.26,2.42,0.71,0.02,2.62,0.63,1041.18
55.76,0.9,16.24,11.02,1.72,0.03,1.2,2.23,0.15,2.77,4.89,0.79,0.04,1.93,0.35,1594.84
85.85,0.21,4.04,0.13,1.35,0.04,0.54,0.46,0.34,1.46,2.25,0.26,0.02,2.72,0.33,610.03
64.47,0.41,14.72,11.9,0.02,0,1.51,2.23,0.41,0.73,0.79,0.8,0.04,1.68,0.3,1094.66
59.52,1.12,11.23,15.93,0.01,0.02,1.74,1.69,0.73,3.29,0.76,0.77,0.01,2.18,0.99,1793.41
81.14,0.88,0.15,2.05,1.19,0,1.82,2.45,0.26,1.97,4.25,0.93,0.01,2.33,0.58,1266.66
71.34,0.71,14.03,4.46,1.06,0.02,0.19,0.53,0.14,3.07,0.53,0.57,0.03,2.71,0.63,1191.74
73.86,0.74,5.57,3.18,1.45,0.05,0.37,4.6,0.14,3.68,4.8,0.15,0.02,1.01,0.39,1340.62
50.81,0.91,11.9,19.37,0.37,0.03,0.9,4.59,0.01,4.95,2.4,0.63,0.02,2.56,0.56,1748.79
67,0.44,1.37,16.15,0.58,0.04,1.22,1.77,0.59,3.23,3.53,0.82,0.01,2.83,0.41,1076.9
87.66,1.03,3.97,0.58,1.15,0.02,1.97,0.52,0.05,0.23,1.08,0.58,0.03,1.05,0.09,1179.32
55.58,0.9,14.04,15.54,1.94,0.04,1,2.07,0.92,3.06,1.47,0.56,0.05,2.55,0.28,1574.99
58.8,1.14,17.67,4.62,1.79,0.04,0.08,3.35,0.31,3.37,4.57,0.5,0.02,2.76,0.97,1807.65
56.75,0.92,13.99,14.52,0.08,0.01,1.87,0.41,0.08,4.18,3.21,0.35,0.01,2.65,0.99,1553.97
69.89,0.07,9.97,5.23,1.66,0.02,1.43,2.7,0.54,4.29,2.35,0.85,0.02,0.52,0.46,729.56
63.47,0.97,10.16,17.77,1.03,0.01,0.26,4.34,0.06,0.59,0.32,0.42,0.03,0.06,0.52,1540.48
51.35,0.48,13.93,16.6,1.37,0.02,0.43,4.24,0.34,1.78,4.58,0.98,0.04,2.99,0.87,1300.86
63.66,1.14,15.78,4.81,0.98,0,1.91,2.86,0.25,1.46,4.9,0.62,0.02,1.5,0.1,1725.78
69.79,0.1,10.67,10.24,0.72,0.03,0.15,4.72,0.29,0.36,0.85,0.1,0.01,1.25,0.74,803.97
67.84,1.12,5.32,15.89,0.32,0.01,0.91,1.17,0.9,0.25,2.99,0.6,0,2.2,0.47,1483.9
72.73,0.87,14.88,6.46,0.97,0.01,0.4,0,0.96,2.2,0.07,0.01,0.01,0.04,0.37,1367.73
66.89,0.5,15.06,0.59,1.56,0,1.68,4.41,0.79,4.1,2.81,0.26,0.03,1.32,0.01,1282.66
75.48,0.58,11.72,0.28,1.24,0.03,0.32,2.16,0.96,4.42,2.05,0.35,0.01,0.11,0.3,1158.18
63.69,0.18,10.72,12.93,0.85,0.03,1.49,3.92,0.5,3.96,0.13,0.68,0.01,0.81,0.09,1017.97
59.99,0.24,17.86,8.31,1.86,0.01,0.41,2.79,0.35,3.22,2.11,0.81,0.02,1.72,0.32,1097.65
65.4,0.48,4.97,12.28,1.89,0.01,1.6,2.71,0.53,4.81,3.03,0.83,0.03,0.75,0.69,1247.47
66.66,1.11,15.14,3.97,0.63,0.03,1.14,0.97,0.23,3.79,3.65,0.84,0.05,0.92,0.86,1627.45
63.81,0.33,4.85,14.09,1.86,0.04,1.45,1.94,0.72,4.01,3.77,0.68,0,1.98,0.48,1059.45
61.82,1.15,10.93,12.16,1.99,0,0.55,3.28,0.32,1.73,4.46,0.58,0.01,0.93,0.08,1688.3
77.93,1.03,10.39,1.19,0.6,0.03,0.67,2.57,0.91,1.75,1.68,0.82,0.02,0.23,0.18,1446.43
65.25,1.14,16.8,4.5,1.11,0.01,1.35,0.93,0.05,4.12,1.63,0.11,0.04,2.29,0.68,1675.15
80.46,0.16,1.1,6.37,0.17,0.03,0.03,2.22,0.18,1.84,3.38,0.35,0.02,2.97,0.72,671.28
69.19,0.62,10.43,12.4,0.05,0,1.3,1.82,0.06,1.49,0.65,0.92,0.01,0.43,0.63,1243.79
69.71,0.53,8.41,15.58,0.44,0.02,1.92,0.95,0.29,0.96,0.1,0.27,0,0.46,0.36,1074.56
52.63,0.03,13.55,15.91,0.82,0.05,1.36,3.72,0.19,4.19,4.73,0.24,0.03,2.24,0.31,939.27
74.38,0.22,1.11,11.2,1.25,0.05,1.08,1.3,0.06,4.42,2.39,0.74,0,1.46,0.33,773.54
65.45,0.05,13.96,10.26,0.67,0.04,0.89,0.02,0.94,1.28,4.15,0.82,0.01,1.42,0.04,754.25
73.85,0.29,2.11,10.14,1.07,0.03,1.52,3.48,0.85,1.11,2.85,0.36,0.05,1.32,0.96,875.11
61.22,0.93,12.93,9.83,0.89,0.03,0.59,4.52,0.79,4.01,2.17,0.07,0.03,1.12,0.87,1647.89
60.16,0.73,12.46,11.36,1.03,0.01,0.47,3.84,0.02,3.89,2.63,0.94,0.05,1.99,0.41,1441.78
83.1,0.58,3.68,1.98,1.16,0.04,0.52,2.1,0.55,4.54,0.69,0.24,0.05,0.12,0.66,992.73
66.42,0.57,15.39,3.3,0.46,0.03,0.82,2.87,0.92,4.59,1.15,0.3,0.01,2.78,0.4,1338.57
65.91,0.55,14.45,10.26,0.24,0.02,1.26,3.6,0.65,0.6,1.52,0.73,0.04,0.14,0.04,1201.5
58.85,0.19,9.87,19.49,1.26,0.02,1.66,1.06,0.41,2.64,2.52,0.92,0.01,0.17,0.92,1032.19
67.02,0.27,6.82,10.62,1.95,0.03,0.9,2.92,0.97,4.09,0.84,0.8,0.04,2.07,0.66,1079.4
76.3,0.89,2.21,5.15,0.39,0.04,1.36,2.25,0.83,3.58,4.57,0.08,0.03,2.12,0.21,1296.02
63.93,0.4,7.54,15.89,0.99,0.02,0.86,1.14,0.92,1.59,2.84,0.15,0.02,2.71,1,1031.46
65.47,0.38,5.89,12.89,0.99,0.04,1.4,1.26,0.78,4.24,2.99,0.93,0.04,1.79,0.91,1049.12
67.89,0.72,9.38,7.13,1.77,0.01,0.95,2.69,0.55,3.26,2.53,0.26,0.04,1.97,0.86,1383.34
65.34,0.86,6.9,16.24,0.01,0.03,1.23,2.67,0.63,0.84,3.42,0.34,0.02,1,0.47,1350.81
64.69,0.75,15.09,9.67,0.65,0.02,1.38,1.73,0.41,2.81,1.47,0.21,0.01,1.06,0.05,1319.91
72.98,0.46,4.85,12.61,1.7,0.03,1.09,3.35,0.03,0.61,0.47,0.1,0.01,1.6,0.11,996.49
50.21,1.12,15.38,19.43,0.09,0.04,1.61,4.51,0.53,3.94,0.26,0.08,0.01,2.74,0.06,1892.95
64.28,1.2,15.82,6.2,0.77,0.02,1.47,1.71,0.15,3.74,2.29,0.08,0.04,1.76,0.49,1718.47
65.21,0.81,9.1,12.97,1.73,0.03,1.32,3.07,0.53,0.86,1.68,0.69,0.02,1.22,0.76,1338.83
76.42,0.42,3.11,6.69,0.78,0.02,1.34,2.27,0.8,3.2,0.95,0.28,0,2.84,0.89,985.83
56.83,0.11,10.33,19.21,1.49,0.02,0.48,1.4,0.74,3.9,2.64,0.12,0.05,2.53,0.14,924.9
77.03,0.35,5.1,1.74,1.91,0.04,0.23,4.38,0.68,1.63,4.36,0.6,0.04,1.41,0.5,914.41
71.54,0.36,6.98,11.36,1.89,0.03,0.29,0.03,0.85,1.82,1.57,0.8,0.05,2.24,0.17,918.09
61.74,1.09,17.97,10.23,1.65,0,0.57,1.86,0.98,0.02,1.54,0.93,0.02,0.68,0.73,1666.31
64.4,0.9,8.5,18.94,0.41,0.05,1.51,1.84,0.81,0.67,0.65,0.93,0,0.01,0.39,1421.82
68.34,0.52,9.7,4.52,0.6,0.01,0.89,3.06,0.93,3.7,3.62,0.31,0.04,2.84,0.93,1236.85
64.76,0.06,10.88,12.86,0.59,0.05,0.58,1.08,0.48,1.62,4.62,0.44,0.02,1.88,0.08,742.11
54.44,0.57,17.2,11.59,1.39,0.05,1.33,2.16,0.02,3.64,4.82,0.47,0.02,1.56,0.73,1383.88
55.49,0.01,15.97,17.73,1.08,0.01,1.34,0.69,0.51,0.47,2.95,0.32,0.04,2.4,1,807.23
68.65,0.22,10.75,11.84,0.09,0.02,1.06,1.34,0.87,0.81,1.27,0.16,0.01,2.64,0.28,842.78
63.42,0.87,7.7,12.72,1.86,0.04,0.14,4.23,0.45,1.75,3.36,0.95,0,2.3,0.2,1508.5
73.02,0.66,1.21,10.16,1.58,0.03,0.33,2.23,0.92,3.29,3.65,0.79,0,1.74,0.38,1185.91
72.35,0.18,3.65,15.62,0.32,0.02,0.57,0.24,0.46,3.83,0.11,0.11,0.04,1.78,0.72,773.15
75.81,0.58,10.99,1.84,0.41,0.04,0.45,0.46,0.6,2.74,3.04,0.62,0.03,1.48,0.92,1047.84
69.35,0.65,11.11,5.34,1.74,0,1.11,1.92,0.6,1.8,3.59,0.02,0.02,2.49,0.25,1228.76
80.79,1.17,1.15,1.4,1.19,0.01,0.82,4.15,0.2,3.6,2.52,0.9,0.05,1.45,0.58,1525.96
77.65,0.9,5.74,4.53,1.93,0.02,0,4.19,0.6,0.84,0.15,0.29,0.05,2.8,0.31,1331.75
68.65,0.79,6.02,10.32,0.59,0,0.28,1.45,0.98,4.83,4.14,0.23,0.02,1.32,0.39,1404.93
77.45,0.06,9.62,1.46,1.6,0.03,0.71,3.24,0.23,1.33,1.57,0.8,0.01,1.69,0.2,639.92
64.29,0.78,9.48,14.43,0.44,0,1.36,0.57,0.25,1.53,3.73,0.63,0.01,1.79,0.71,1293.23
71.05,0.47,4.43,13.58,1.22,0,1.33,2.44,0.75,0.95,1.29,0.54,0.02,1.16,0.75,1111.73
61.9,0.19,13.12,9.23,0.07,0.01,0.05,2.28,0.33,4.94,4.34,0.83,0.03,2.42,0.27,985.18
76.37,0.68,7.07,3.43,0.15,0.03,0.2,3.59,0.92,0.81,2.35,0.74,0.01,2.76,0.89,1168.98
63.04,0.75,5.28,18.73,1.59,0.03,0.57,3.51,0.29,0.19,2.54,0.49,0.04,2.6,0.35,1309.86
73.12,0.54,8.47,6.48,1.49,0.03,1.83,3.25,0.21,0.82,1.86,0.35,0.02,0.55,0.98,1133.54
67.7,0.03,7.33,6.18,0.76,0.02,1.2,2.92,0.63,4.22,4.43,0.74,0,2.88,0.95,792.87
70.5,0.86,9.31,5.01,1.51,0.04,1.33,3.15,0.19,1.79,3.62,0.02,0.03,2.3,0.33,1356.84
54.46,0.85,14.71,17.25,1.06,0.02,1.7,2.82,0.58,2.17,1.86,0.48,0.02,1.03,0.99,1577.57
71.97,0.41,4.61,7.08,1.18,0.05,1.58,4.21,0.86,4.6,1.18,0.46,0.02,1.15,0.65,1162.55
